Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1742997616,3.140845070422535,1,0,3.163,2.94531,145.09,124.51953,10.25,0.1443661971830986,262,168,7.125,26.6,34,0,0,0,0,6.307319145922595
1742997617,3.140845070422535,1,0,3.07,2.94531,149.89999,127.46484,10.25,0.1443661971830986,262,168,7.125,26.6,34,0,0,0,0,6.498362868582581
1742997618,3.112676056338028,1,0.014084507042253521,3.032,2.94141,154.17,130.40625,10.25,0.1443661971830986,262,168,7.125,26.6,35,0,0,0,0,6.57979794248564
1742997619,3.140845070422535,1,0.014084507042253521,3.032,2.96484,159.06,133.37109,10.25,0.1443661971830986,262,168,7.125,26.6,35,0,0,0,0,6.57979794248564
1742997620,3.183098591549296,1,0.014084507042253521,3.051,3,162.48,136.37109,10.25,0.1443661971830986,262,168,7.125,26.6,35,0,0,0,0,6.538856870158952
1742997621,3.183098591549296,1,0,3.051,3,164.91,139.37109,10.25,0.1443661971830986,260,168,7.125,26.4,35,0,0,0,0,6.538856870158952
1742997622,3.183098591549296,1,0,3.042,3,167.7,142.37109,10.25,0.1443661971830986,260,168,7.125,26.4,35,0,0,0,0,6.558176780832635
1742997623,3.183098591549296,1,0,3.004,3,169.99001,145.37109,10.25,0.1443661971830986,260,168,7.125,26.4,35,0,0,0,0,6.641127453721828
1742997624,3.183098591549296,1,0,2.995,3,172.64,148.37109,10.25,0.1443661971830986,260,168,7.125,26.4,35,0,0,0,0,6.661119629034068
1742997625,3.0704225352112675,0.9859154929577465,0,2.995,3,175.67999,151.37109,10,0.14084507042253522,260,168,7.25,26.4,35,0,0,0,0,6.777981376911859
1742997626,3.0704225352112675,0.9859154929577465,0,2.93,3,177.94,154.37109,10,0.14084507042253522,266,168,7.25,26.6,35,0,0,0,0,6.928318186596332
1742997627,3.1267605633802815,0.9859154929577465,0,2.921,3,180.78999,157.37109,10,0.14084507042253522,266,168,7.25,27.2,35,0,0,0,0,6.9497033195617375
1742997628,3.1267605633802815,0.9859154929577465,0,2.921,2.93359,183.74001,160.30469,10,0.14084507042253522,266,168,7.25,27.6,34,0,0,0,0,6.9497033195617375
1742997629,3.1267605633802815,0.9859154929577465,0,2.921,2.93359,187.37,160.30469,10,0.14084507042253522,266,168,7.25,28,34,0,0,0,0,6.9497033195617375
1742997630,3.1267605633802815,0.9859154929577465,0,2.921,2.9375,190.77,166.17578,9.875,0.13908450704225353,266,168,7,28.4,34,0,0,0,0,6.710058377507885
1742997631,3.1267605633802815,0.9859154929577465,0,2.921,2.9375,193.8,169.11328,9.875,0.13908450704225353,266,168,7,28.6,34,0,0,0,0,6.710058377507885
1742997632,3.1690140845070425,0.971830985915493,0,2.93,2.9375,197.39999,172.05078,9.75,0.13732394366197184,266,170,7,28.6,34,0,0,0,0,6.769040343480448
1742997633,3.1690140845070425,0.971830985915493,0,2.958,2.9375,200.86,174.98828,9.75,0.13732394366197184,264,170,7,28,34,0,0,0,0,6.704980842911877
1742997634,3.1690140845070425,0.971830985915493,0,2.976,2.9375,204.83,177.92578,9.75,0.13732394366197184,264,168,7.125,27,34,0,0,0,0,6.703611011798356
1742997635,3.1690140845070425,0.971830985915493,0,2.986,2.9375,208.12,180.86328,10,0.14084507042253522,264,168,7.125,26,34,0,0,0,0,6.681169884568138
1742997636,3.1690140845070425,0.971830985915493,0,2.986,2.9375,210.71001,183.80078,10,0.14084507042253522,264,168,7.125,25,34,0,0,0,0,6.681169884568138
1742997637,3.183098591549296,0.971830985915493,0,2.986,2.9375,214.92,186.73828,10,0.14084507042253522,264,168,7.125,24.4,34,0,0,0,0,6.681169884568138
1742997638,3.2253521126760565,0.9859154929577465,0,3.004,2.9375,217.78,189.67578,9.875,0.13908450704225353,264,168,7.125,23.8,34,0,0,0,0,6.641127453721828
1742997639,3.2253521126760565,0.9859154929577465,0,3.023,2.9375,220.25,192.61328,9.875,0.13908450704225353,264,168,7.125,23.4,34,0,0,0,0,6.599422029565411
1742997640,3.2253521126760565,0.9859154929577465,0,3.032,2.9375,222.89999,195.55078,9.875,0.13908450704225353,264,168,7.125,23.2,34,0,0,0,0,6.57979794248564
1742997641,3.2253521126760565,0.9859154929577465,0,3.032,2.9375,225.37,198.48828,9.875,0.13908450704225353,264,168,7.125,23,34,0,0,0,0,6.57979794248564
1742997642,3.2253521126760565,0.9859154929577465,0,3.032,2.9375,228.05,201.42578,9.875,0.13908450704225353,264,168,7.125,23,34,0,0,0,0,6.57979794248564
1742997643,3.2253521126760565,0.9859154929577465,0,3.023,2.9375,230.28999,204.36328,9.875,0.13908450704225353,264,168,7.125,23.4,34,0,0,0,0,6.599422029565411
1742997644,3.2253521126760565,0.9859154929577465,0,3.023,2.9375,232.56,207.30078,9.875,0.13908450704225353,264,168,7.125,24.4,34,0,0,0,0,6.599422029565411
1742997645,3.2253521126760565,0.9859154929577465,0,3.014,2.9375,235.28,210.23828,9.875,0.13908450704225353,264,168,7.125,25.4,34,0,0,0,0,6.61910203171595
1742997646,3.2253521126760565,0.9859154929577465,0,3.014,2.9375,237.11,213.17578,9.875,0.13908450704225353,264,168,7.125,26.4,34,0,0,0,0,6.61910203171595
1742997647,3.2253521126760565,0.9859154929577465,0,3.004,2.9375,239.50999,216.11328,9.875,0.13908450704225353,264,168,7.125,27.2,34,0,0,0,0,6.641127453721828
1742997648,3.2253521126760565,0.9859154929577465,0,2.995,2.9375,241.89,219.05078,9.875,0.13908450704225353,264,168,7.125,27.8,34,0,0,0,0,6.661119629034068
1742997649,3.1549295774647885,0.9859154929577465,0,2.995,2.94141,244.35001,221.99219,9.875,0.13908450704225353,264,168,7.125,28.2,34,0,0,0,0,6.661119629034068
1742997650,3.1549295774647885,0.9859154929577465,0,2.986,2.94141,246.50999,224.93359,9.875,0.13908450704225353,264,168,7.125,28.6,34,0,0,0,0,6.681169884568138
1742997651,3.140845070422535,0.9859154929577465,0,2.976,2.94531,250.87,227.87891,9.875,0.13908450704225353,262,168,7.125,29,34,0,0,0,0,6.703611011798356
1742997652,3.1549295774647885,0.9859154929577465,0,2.967,2.95313,255.64999,230.83203,9.875,0.13908450704225353,262,168,7.125,29.4,34,0,0,0,0,6.723981729644031
1742997653,3.1690140845070425,0.9859154929577465,0,2.967,3.01172,259.94,233.84375,9.875,0.13908450704225353,262,168,7.125,30,35,0,0,0,0,6.723981729644031
1742997654,3.1690140845070425,0.9859154929577465,0,2.995,3.01172,264,236.85547,9.875,0.13908450704225353,262,168,7.125,30.6,35,0,0,0,0,6.661119629034068
1742997655,3.1690140845070425,0.9859154929577465,0,3.06,3.01172,267.76001,239.86719,9.875,0.13908450704225353,262,168,7.125,31,35,0,0,0,0,6.519590798455429
1742997656,3.1690140845070425,0.9859154929577465,0,3.06,3.01172,270.84,242.87891,9.875,0.13908450704225353,262,168,7.125,31.4,35,0,0,0,0,6.519590798455429
1742997657,3.140845070422535,0.9859154929577465,0,2.976,3.01172,274.51001,245.89063,10,0.14084507042253522,262,168,7.375,31.8,35,0,0,0,0,6.938825433264965
1742997658,3.084507042253521,0.9859154929577465,0,2.976,3.01172,278.04999,248.90234,10,0.14084507042253522,264,168,7.125,32.2,35,0,0,0,0,6.703611011798356
1742997659,3.084507042253521,0.9859154929577465,0,3.032,3.01172,281.29999,248.90234,10,0.14084507042253522,264,168,7.125,32.6,35,0,0,0,0,6.57979794248564
1742997660,3.0704225352112675,0.9859154929577465,0,3.088,3.01172,284.35001,254.92578,10,0.14084507042253522,264,168,7.125,32.8,35,0,0,0,0,6.460475490996138
1742997661,3.0985915492957745,0.9859154929577465,0,3.098,2.90625,287.26001,257.83203,10,0.14084507042253522,266,168,7.125,33,35,0,0,0,0,6.439630161871967
1742997662,3.0985915492957745,0.9859154929577465,0,3.098,2.92969,290.19,260.76172,10,0.14084507042253522,266,168,7.125,33.4,35,0,0,0,0,6.439630161871967
1742997663,3.0704225352112675,0.9859154929577465,0,3.079,2.92969,292.60999,263.69141,10,0.14084507042253522,266,168,7.125,33.6,35,0,0,0,0,6.479393255974683
1742997664,3.112676056338028,0.9859154929577465,0,3.051,2.92969,295.95001,266.62109,10,0.14084507042253522,264,168,7.125,33.6,35,0,0,0,0,6.538856870158952
1742997665,3.112676056338028,0.971830985915493,0,3.042,2.92969,298.48999,269.55078,10.125,0.1426056338028169,264,170,7.125,33.8,35,0,0,0,0,6.636240860615657
1742997666,3.112676056338028,0.971830985915493,0,3.042,2.92969,302.06,272.48047,10.125,0.1426056338028169,260,170,7.125,34,35,0,0,0,0,6.636240860615657
1742997667,3.112676056338028,0.971830985915493,0,3.042,2.92969,304.73999,275.41016,10.25,0.1443661971830986,258,170,7.25,34,35,0,0,0,0,6.752666138872072
1742997668,3.112676056338028,0.9859154929577465,0,3.032,2.92969,308.41,278.33984,10.375,0.14612676056338028,258,170,7.25,34,35,0,0,0,0,6.774941128097784
1742997669,3.112676056338028,0.9859154929577465,0,3.032,2.92969,310.57999,281.26953,10.375,0.14612676056338028,258,170,7.25,34.2,35,0,0,0,0,6.774941128097784
1742997670,3.0422535211267605,0.9859154929577465,0,3.032,2.92969,313.51999,284.19922,10.375,0.14612676056338028,266,170,7.25,34,35,0,0,0,0,6.774941128097784
1742997671,3.056338028169014,0.9859154929577465,0,3.023,2.92969,316.82999,287.12891,10,0.14084507042253522,266,170,7.125,33.8,35,0,0,0,0,6.677976268581176
1742997672,3.056338028169014,0.9859154929577465,0,3.023,2.92969,320.76999,290.05859,10,0.14084507042253522,266,170,7.125,33.4,35,0,0,0,0,6.677976268581176
1742997673,3.056338028169014,0.9859154929577465,0,3.032,2.92969,323.51999,292.98828,10,0.14084507042253522,266,168,7.25,33.2,35,0,0,0,0,6.695232994108196
1742997674,3.1267605633802815,0.9859154929577465,0,3.032,2.94531,327.87,295.93359,9.875,0.13908450704225353,266,168,7.125,33,35,0,0,0,0,6.57979794248564
1742997675,3.1267605633802815,0.9859154929577465,0,3.032,2.96875,332.78,298.90234,9.875,0.13908450704225353,266,168,7.125,32.6,35,0,0,0,0,6.57979794248564
1742997676,3.112676056338028,0.9859154929577465,0,3.042,2.95703,337.51999,301.85938,9.875,0.13908450704225353,266,168,7.125,32.2,35,0,0,0,0,6.558176780832635
1742997677,3.112676056338028,0.9859154929577465,0,3.051,2.95703,341.87,304.81641,9.875,0.13908450704225353,264,168,7,31.6,35,0,0,0,0,6.424140082963181
1742997678,3.084507042253521,0.971830985915493,0,3.06,2.95703,346.48999,307.77344,10,0.14084507042253522,264,168,7.125,30.6,35,0,0,0,0,6.519590798455429
1742997679,3.084507042253521,0.971830985915493,0,3.07,2.95703,350.07999,310.73047,10,0.14084507042253522,264,168,7.125,29.4,35,0,0,0,0,6.498362868582581
1742997680,3.0704225352112675,0.971830985915493,0,3.079,2.95703,354.64001,313.6875,10.125,0.1426056338028169,264,170,7,28.2,35,0,0,0,0,6.441460923337413
1742997681,3.056338028169014,0.971830985915493,0,3.088,2.95703,358.60001,316.64453,10.25,0.1443661971830986,264,170,7,27.2,35,0,0,0,0,6.422725437662862
1742997682,3.0140845070422535,0.971830985915493,0,3.088,2.83984,362.62,319.48438,10.5,0.14788732394366197,264,172,6.875,26,35,0,0,0,0,6.38222816349644
1742997683,3.0140845070422535,0.971830985915493,0,3.098,2.83984,366.16,322.32422,10.75,0.15140845070422534,264,172,6.75,24.8,35,0,0,0,0,6.245951697973536
1742997684,3.1690140845070425,0.971830985915493,0,3.098,2.71484,369.14001,325.03906,10.75,0.15140845070422534,264,172,6.75,23.6,34,0,0,0,0,6.245951697973536
1742997685,3.3943661971830985,0.971830985915493,0,3.088,2.71484,372.16,327.75391,10.75,0.15140845070422534,272,172,6.75,22.4,34,0,0,0,0,6.266187651432868
1742997686,3.3943661971830985,0.971830985915493,0,3.079,2.67969,374.16,330.43359,10.75,0.15140845070422534,272,172,6.75,21.2,34,0,0,0,0,6.284506596404331
1742997687,3.6901408450704225,0.971830985915493,0,3.06,2.61719,377.57999,333.05078,10.75,0.15140845070422534,274,172,6.75,20.2,34,0,0,0,0,6.323540433185941
1742997688,3.7746478873239435,0.971830985915493,0,3.032,2.61719,381.85001,335.66797,10.75,0.15140845070422534,278,172,6.75,19,34,0,0,0,0,6.38195278300415
1742997689,3.7746478873239435,0.971830985915493,0,3.023,2.61719,386.17001,335.66797,10.75,0.15140845070422534,278,172,6.75,18,34,0,0,0,0,6.400955876077495
1742997690,3.816901408450704,0.9436619718309859,0,3.023,2.61719,389.78,340.90234,10.625,0.14964788732394366,276,170,6.5,17,34,0,0,0,0,6.092188876600371
1742997691,3.7464788732394365,0.9295774647887324,0,3.004,2.61719,393.41,343.51953,10.75,0.15140845070422534,276,170,6.5,16.2,34,0,0,0,0,6.130687391533992
1742997692,3.7464788732394365,0.9295774647887324,0,3.004,2.61719,397.47,346.13672,10.875,0.15316901408450703,276,170,6.5,15.2,34,0,0,0,0,6.130687391533992
1742997693,3.7464788732394365,0.9295774647887324,0,2.995,2.61719,400.38,348.75391,10.875,0.15316901408450703,276,170,6.5,14.6,34,0,0,0,0,6.1491306075341035
1742997694,3.676056338028169,0.9295774647887324,0,2.976,2.52344,402.84,351.27734,10.875,0.15316901408450703,276,170,6.5,14,32,0,0,0,0,6.188413386014187
1742997695,3.563380281690141,0.9295774647887324,0,2.976,2.52344,404.48001,353.80078,10.875,0.15316901408450703,284,170,6.5,13.4,32,0,0,0,0,6.188413386014187
1742997696,3.563380281690141,0.9295774647887324,0,2.948,2.38672,406.67001,356.1875,10.875,0.15316901408450703,284,170,6.5,13,32,0,0,0,0,6.247176756658049
1742997697,3.4788732394366195,0.9295774647887324,0,2.874,2.38672,408.59,358.57422,10.875,0.15316901408450703,288,170,6.5,12.8,32,0,0,0,0,6.408044560556021
1742997698,3.436619718309859,0.9295774647887324,0,2.594,2.38672,409.23999,360.96094,10.875,0.15316901408450703,294,170,6.5,12.6,32,0,0,0,0,7.09971273470012
1742997699,3.436619718309859,0.9295774647887324,0,2.454,2.38672,410.45001,363.34766,11.5,0.1619718309859155,294,168,6.25,12.4,32,0,0,0,0,7.131202720125965
1742997700,3.4507042253521125,0.9295774647887324,0,2.379,2.38672,412.57001,365.73438,11.5,0.1619718309859155,290,168,6.25,12.2,32,0,0,0,0,7.356056682830376
1742997701,3.535211267605634,0.9014084507042254,0,2.379,2.38672,414.70999,368.12109,11.125,0.15669014084507044,286,170,6.125,12.2,32,0,0,0,0,7.294706127553147
1742997702,3.7183098591549295,0.9014084507042254,0,2.473,2.38672,416.20999,370.50781,10.75,0.15140845070422534,282,170,6.5,12.4,32,0,0,0,0,7.447125409591897
1742997703,3.7183098591549295,0.9014084507042254,0.014084507042253521,2.473,2.38672,418.17999,372.89453,10.75,0.15140845070422534,276,170,6.5,12.4,32,0,0,0,0,7.447125409591897
1742997704,3.7183098591549295,0.9014084507042254,0.014084507042253521,2.454,2.38672,419.95001,375.28125,10.75,0.15140845070422534,278,170,6.375,12.6,32,0,0,0,0,7.360411952154436
1742997705,3.647887323943662,0.9154929577464789,0.014084507042253521,2.454,2.38672,422.23999,377.66797,10.875,0.15316901408450703,278,172,6.5,13,32,0,0,0,0,7.593014426727411
1742997706,3.647887323943662,0.9154929577464789,0.014084507042253521,2.501,2.46484,425,380.13281,10.875,0.15316901408450703,278,170,6.5,13.4,30,0,0,0,0,7.363686828063577
1742997707,3.647887323943662,0.9295774647887324,0.014084507042253521,2.706,2.46484,427.82001,382.59766,10.75,0.15140845070422534,278,170,6.5,14,30,0,0,0,0,6.805855129520658
1742997708,3.619718309859155,0.9295774647887324,0.014084507042253521,2.827,2.56641,430.67001,385.16406,10.25,0.1443661971830986,278,168,6.75,14.4,30,0,0,0,0,6.68555128560675
1742997709,3.5774647887323945,0.9295774647887324,0.014084507042253521,2.827,2.83984,433.41,388.00391,10.25,0.1443661971830986,278,168,6.75,15,30,0,0,0,0,6.68555128560675
1742997710,3.5774647887323945,0.9295774647887324,0.014084507042253521,2.79,2.83984,436.25,390.84375,10,0.14084507042253522,278,168,6.875,15.8,30,0,0,0,0,6.899631685115863
1742997711,3.535211267605634,0.9436619718309859,0,2.753,2.83984,439.22,393.68359,9.875,0.13908450704225353,266,168,6.875,16.4,30,0,0,0,0,6.992402436915817
1742997712,3.535211267605634,0.9577464788732394,0,2.743,2.83984,441.97,396.52344,9.625,0.13556338028169015,266,170,7,17,30,0,0,0,0,7.23050861463455
1742997713,3.535211267605634,0.9577464788732394,0,2.734,2.83984,443.95999,399.36328,9.625,0.13556338028169015,266,170,7,17.4,30,0,0,0,0,7.254337057226356
1742997714,3.507042253521127,0.971830985915493,0,2.715,2.83984,446.28,402.20313,9.625,0.13556338028169015,266,168,7,17.6,30,0,0,0,0,7.219174126479931
1742997715,3.436619718309859,0.971830985915493,0,2.697,2.92969,449.16,405.13281,9.625,0.13556338028169015,266,168,7,17.8,30,0,0,0,0,7.267366410232452
1742997716,3.267605633802817,0.971830985915493,0,2.687,2.88281,451.73999,408.01563,9.625,0.13556338028169015,266,168,7.125,17.8,30,0,0,0,0,7.424659247217706
1742997717,3.267605633802817,0.971830985915493,0,2.678,2.88281,453.79001,410.89844,9.5,0.13380281690140844,266,166,7.125,17.6,30,0,0,0,0,7.360917402758407
1742997718,2.859154929577465,0.971830985915493,0,2.669,2.75781,456.09,413.65625,10.125,0.1426056338028169,266,166,7.125,17.4,30,0,0,0,0,7.385715766559552
1742997719,2.859154929577465,0.971830985915493,0,2.669,2.75781,458.59,413.65625,10.125,0.1426056338028169,266,166,7.125,17.2,30,0,0,0,0,7.385715766559552
1742997720,2.7183098591549295,0.971830985915493,0,2.65,2.59766,461.84,418.85156,10.25,0.1443661971830986,266,166,7,16.8,30,0,0,0,0,7.308186212584697
1742997721,2.647887323943662,0.971830985915493,0,2.631,2.58203,464.17001,421.43359,10.125,0.1426056338028169,266,164,7.125,16.4,30,0,0,0,0,7.402135970744681
1742997722,2.619718309859155,0.971830985915493,0,2.613,2.69531,467.70001,424.12891,10.125,0.1426056338028169,266,164,7.125,16.2,30,0,0,0,0,7.453084792568882
1742997723,2.6056338028169015,0.971830985915493,0,2.594,2.69531,470.48001,426.82422,10.125,0.1426056338028169,282,164,7.125,15.8,30,0,0,0,0,7.507744831510401
1742997724,2.6056338028169015,0.971830985915493,0,2.585,2.73438,471.81,429.55859,10.125,0.1426056338028169,282,164,7.125,15.6,31,0,0,0,0,7.533862730377592
1742997725,2.492957746478873,0.9577464788732394,0,2.575,2.6875,472.98999,432.24609,10.125,0.1426056338028169,276,166,7,15,31,0,0,0,0,7.521058965102286
1742997726,2.492957746478873,0.9577464788732394,0,2.557,2.6875,474.84,434.93359,10.125,0.1426056338028169,276,166,7,14.6,31,0,0,0,0,7.57395425331631
1742997727,2.492957746478873,0.9577464788732394,0,2.454,2.6875,477.22,437.62109,10.125,0.1426056338028169,276,166,7,13.8,31,0,0,0,0,7.891858983754045
1742997728,2.1690140845070425,0.9436619718309859,0,2.454,2.30859,480.73999,439.92969,11.25,0.15845070422535212,276,168,6.5,13.2,31,0,0,0,0,7.416450828931004
1742997729,2.3098591549295775,0.9436619718309859,0,2.519,2.55859,483.76001,442.48828,11.25,0.15845070422535212,276,168,6.5,12.6,32,0,0,0,0,7.225112267129074
1742997730,2.3098591549295775,0.9436619718309859,0,2.557,2.55859,485.73001,445.04688,11.25,0.15845070422535212,276,168,6.5,12,32,0,0,0,0,7.117749477119173
1742997731,2.5211267605633805,0.9436619718309859,0,2.603,2.85156,487.89999,447.89844,11.25,0.15845070422535212,278,168,6.5,11.4,32,0,0,0,0,6.991953874618131
1742997732,2.7746478873239435,0.9436619718309859,0,2.65,3.16406,491.26001,451.0625,11.25,0.15845070422535212,268,168,6.5,11.2,32,0,0,0,0,6.867914161639002
1742997733,2.8450704225352115,0.9436619718309859,0,2.65,3.16406,493.88,454.22656,11.25,0.15845070422535212,258,168,6.5,10.8,32,0,0,0,0,6.867914161639002
1742997734,2.8450704225352115,0.9436619718309859,0,2.65,3.23047,497.32001,457.45703,11.25,0.15845070422535212,258,168,6.5,10.6,33,0,0,0,0,6.867914161639002
1742997735,2.943661971830986,1,0,2.65,3.26172,500.22,460.71875,9.375,0.13204225352112675,256,166,7.5,10.4,33,0,0,0,0,7.8301995134836035
1742997736,2.9577464788732395,1.0140845070422535,0,2.659,3.26172,503.59,463.98047,9.5,0.13380281690140844,252,168,7.5,10.4,33,0,0,0,0,7.897729665978686
1742997737,2.9577464788732395,1.0140845070422535,0,2.659,3.29688,508.39999,467.27734,9.5,0.13380281690140844,252,168,7.5,10.2,33,0,0,0,0,7.897729665978686
1742997738,2.9577464788732395,1.0140845070422535,0,2.669,3.29688,512.96002,470.57422,9.5,0.13380281690140844,252,168,7.5,10.2,33,0,0,0,0,7.868150774750579
1742997739,2.9295774647887325,1.0140845070422535,0.014084507042253521,2.669,3.29688,516.52002,473.87109,9.5,0.13380281690140844,244,168,7.5,10.2,33,0,0,0,0,7.868150774750579
